■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202301~202306   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2023년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
130,내 아내 이야기,2023-05-24,3081898,0,13936607,345,1502,11,88,독일,독일,(주)영화사 안다미로
131,미드나잇 스완,2023-06-01,2744315,0,2744315,343,343,10,106,일본,일본,(주)미디어캐슬
132,울지마 엄마,2023-05-17,861000,0,31405000,340,4089,4,58,한국,한국,주식회사 원더스튜디오
133,웅남이,2023-03-22,1680000,0,2867713071,336,314152,1,1,한국,한국,씨제이 씨지브이(CJ CGV)(주)
134,연평해전,2015-06-24,2360000,0,45572665830,333,6045726,1,4,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
135,뉘른베르크의 재판,,651000,0,3938000,326,1726,1,9,미국,미국,
136,비밀의 언덕,2023-07-12,2916000,0,4348000,324,503,2,2,한국,한국,(주)엣나인필름
137,금지된 관계,2023-06-15,1600000,0,1600000,320,320,5,16,브라질,브라질,주식회사 풍경소리
138,손,2023-06-21,2940555,0,2940555,301,301,10,74,한국,한국,(주)이놀미디어
139,극장판 도라에몽: 진구와 하늘의 유토피아,2023-07-08,2086000,0,2086000,298,298,2,2,일본,일본,씨제이 씨지브이(CJ CGV)(주)
140,에브리씽 에브리웨어 올 앳 원스,2022-10-12,2775000,0,3882962829,286,366361,3,18,미국,미국,워터홀컴퍼니(주)
141,슈퍼 키드 헤일리,2023-07-20,2529000,0,2529000,281,281,1,1,노르웨이,노르웨이,(주)팝엔터테인먼트
142,그 여름 가장 조용한 바다,2004-08-13,2719000,0,47107034,273,6471,1,19,일본,일본,"(주)영화사 진진,(주)스폰지이엔티"
143,감쪽같은 그녀,2019-12-04,1320000,0,3599615790,264,470189,1,2,한국,한국,플러스엠 엔터테인먼트
144,지구 최후의 밤,2019-07-25,2593000,0,72551080,256,8431,3,17,중국,중국,찬란
145,나바론 요새,1974-07-20,506000,0,24642604,253,12593,1,3,미국,"미국,영국",
146,헤어질 결심,2022-06-29,2421300,0,19681165778,245,1898029,3,16,한국,한국,(주)씨제이이엔엠
147,해변의 폴린,,2414000,0,45918200,244,5108,2,21,프랑스,프랑스,(주)영화사 안다미로
148,그대와 영원히,1958-01-15,571000,0,5454500,242,2624,1,15,한국,한국,
149,피가로의 결혼,,7413200,0,7413200,240,240,9,28,영국,영국,
150,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,2808000,0,1549621340,234,182648,1,2,미국,"미국,캐나다",(주)홈초이스
151,팔스타프,,6841800,0,8235000,233,281,7,40,미국,미국,
152,나나미 : 마지막 한방울까지 짜내는 무삭제,,1983953,0,1983953,220,220,55,55,일본,일본,(주)영화사 사계절
153,플레이 뮤지컬 핑크퐁과 아기상어의 생일파티 대소동,2023-05-17,1572000,0,13213500,218,1043,1,5,한국,한국,씨제이 씨지브이(CJ CGV)(주)
154,그대 어이가리,2023-03-08,1302000,0,67091394,217,8160,1,1,한국,한국,(주)영화사 순수
155,여름이야기,1998-06-13,1991000,0,32484400,211,3760,2,16,프랑스,프랑스,(주)영화사 안다미로
156,누클리어 나우,,2100000,0,2100000,210,210,1,2,미국,미국,
156,아토믹 호프,,2100000,0,2100000,210,210,1,2,아일랜드,아일랜드,
156,풍재기시,2023-07-05,2357000,0,2357000,210,210,1,2,홍콩,홍콩,(주)빅브라더스
159,거신: 바람의 아이,2023-05-18,1329000,0,31850077,209,3904,16,21,한국,한국,트윈플러스파트너스(주)
160,마인드케이지,2023-05-31,1248000,0,4694000,208,774,2,26,미국,미국,(주)누리픽쳐스
161,사랑의 고고학,2023-04-12,1643000,0,27925958,203,3090,3,17,한국,한국,"(주)맑은시네마,(주)엣나인필름"
161,"소년, 소녀를 만나다",,1218000,0,22630000,203,4455,1,5,한국,한국,
163,태극기 휘날리며,2004-02-05,900000,0,15752101200,200,2553538,1,4,한국,한국,"(주)다자인소프트,(주)쇼박스"
163,뮤지컬 앨리스,2023-06-21,1997500,0,1997500,200,200,6,39,한국,한국,주식회사 푸른잎커뮤니케이션
165,기적을 믿는 소녀,2023-07-05,1728000,0,18995000,192,1889,1,1,미국,미국,홀리가든
166,차별,2023-03-22,1875000,0,19310398,189,2161,2,7,한국,한국,(주)디오시네마
167,학교 가는 길,2021-05-05,2024000,0,279839980,184,36453,1,1,한국,한국,(주)영화사 진진
168,내 여자친구의 남자친구,,1747000,0,35332900,176,3730,1,11,프랑스,프랑스,(주)영화사 안다미로
169,블루 하와이,,174000,0,5490000,173,2817,1,8,,,
170,리턴 투 서울,2023-05-03,1671000,0,42065792,172,4373,4,45,프랑스,프랑스,(주)엣나인필름
171,아일라,2018-06-21,1600000,0,336162900,160,44516,1,1,터키,터키,(주)영화사 빅
172,한산 리덕스,2022-11-16,1436000,0,171709176,159,19551,1,1,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
172,씽2게더,2022-01-05,995000,0,8197463050,159,885578,1,2,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
174,이니셰린의 밴시,2023-03-15,1686000,0,270093801,158,26692,3,17,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
175,자전거 도둑,2023-04-26,993500,0,38869453,156,6358,4,31,이탈리아,이탈리아,일미디어
176,라이스보이 슬립스,2023-04-19,1473000,0,217696622,155,24538,3,30,캐나다,캐나다,판씨네마(주)
176,비긴 어게인,2014-08-13,1550000,0,27435497031,155,3479599,1,3,미국,미국,판씨네마(주)
176,제17 포로수용소,,310000,0,11110000,155,5555,1,9,미국,미국,
176,오글리스: 웰컴 투 냄새 마을,2023-04-06,1085000,0,114511970,155,13747,2,2,독일,독일,(주)박수엔터테인먼트
