■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2023-01-01~2023-06-30   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
29,카운트,2023-02-22,3772840091,0.006,3772840091,397305,397305,946,37238,한국,한국,"(주)필름케이,(주)26컴퍼니",(주)씨제이이엔엠,12세이상관람가,드라마,권혁재,"진선규,김지창,성유빈,고창석,오나라,장동주,고규필,한태경,김욱인,이종화,최형태,추정훈,태인호,차순배,이준혁,이홍내,우정원,한철우,전승재,이일화,박성근,김한종,이윤희,전승재"
30,상견니,2023-01-25,3608720638,0.006,3608720638,360873,360873,699,31231,대만,대만,,"오드,리바이브콘텐츠 주식회사,씨제이 씨지브이(CJ CGV)(주)",15세이상관람가,"드라마,판타지,멜로/로맨스",황천인,"가가연,허광한,시백우"
31,웅남이,2023-03-22,2867713071,0.005,2867713071,314152,314152,829,36059,한국,한국,(주)영화사김치,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,"코미디,액션",박성광,"박성웅,최민수,오달수,염혜란,윤제문,이이경,백지혜,서동원,한다솔,정우성,안일권,김기천,변진수,최선자,양주호,곽민호,장덕출,김광식,김종구,노기홍,정규석,정기욱,고덕원,이서율,박강토,양동혁,오지영,설도희,김미성,이광훈,허진성,이성하,정현옥,전지학,유병선,김인석,이얀,하회정,한상경,전재현,강준규,김대근,곽기훈,문웅기,류한종,이민교,양해준,박건주,소계원,장두경,송인준,인선호,문기환,정우철,장효준,정유동,노일환,홍기주,서현우"
32,던전 앤 드래곤: 도적들의 명예,2023-03-29,2935281137,0.005,2935281137,293760,293760,1105,34065,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"액션,어드벤처,판타지",,"크리스 파인,미셸 로드리게즈,레게-장 페이지,저스티스 스미스,소피아 릴리스,휴 그랜트"
33,옥수역귀신,2023-04-19,2741672100,0.005,2741672100,256196,256196,314,13629,한국,"한국,일본",(주)영화사조아,(주)스마일이엔티,15세이상관람가,"공포(호러),미스터리",정용기,"김보라,서제광,김재현,신소율,김강일,김수진,김광현,김나윤,김은민,유채련,한희택,조연호,진대연,이종성,엄채윤,박노아,이수아,박세정,한여름,최호영,강지혜,현명한,소계원,김종원,이채훈,김수현,홍성민,황지후,김구택,장준휘,박재한,이원희"
34,아임 히어로 더 파이널,2023-03-01,6059713000,0.01,6059713000,250702,250702,146,8897,한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,CGV ICECON",전체관람가,"공연,다큐멘터리",오윤동,임영웅
35,인디아나 존스: 운명의 다이얼,2023-06-28,2261202192,0.004,2261202192,241367,241367,1261,11907,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"어드벤처,액션",제임스 맨골드,"해리슨 포드,안토니오 반데라스,존 라이스 데이비스,매즈 미켈슨"
36,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,2226452849,0.004,4468340849,240819,578827,587,10217,일본,일본,,"(주)넥스트엔터테인먼트월드(NEW),실버스푼",전체관람가,"애니메이션,어드벤처,판타지,액션",유야마 쿠니히코,오오타니 이쿠에
37,소울메이트,2023-03-15,2267276069,0.004,2267276069,234681,234681,749,28250,한국,한국,"클라이맥스 스튜디오(주),(주)앤드마크,(주)스튜디오앤뉴,(주)키이스트",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,민용근,"김다미,전소니,변우석,장혜진,박충선,허지나,류지안,강말금,현봉식,이현균,오민애,정수지,김정현,박지연,박진수,이석형,박경은,박찬우,임영주,조대희,어성욱,김동인,안현정,박정환,임정균,리우진,김나윤,채윤희,조수연,김미소,김남규,이종훈,곽진석,우정환,황우상,이광호,신치영,최교식,이강진,김기정,나규비,김환영,황자능,이정철,석예린,이류경,원서영,황지선,오채은,강민지,김동원,박성연,김새벽,이유진,김경애"
38,메간,2023-01-25,2331686898,0.004,2331686898,230874,230874,704,21067,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러,코미디",제라드 존스톤,"앨리슨 윌리암스,바이올렛 맥그로우"
39,바빌론,2023-02-01,2114483105,0.003,2114483105,210593,210593,852,21489,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,데이미언 셔젤,"브래드 피트,마고 로비,디에고 칼바,진 스마트,조반 아데포,리 준 리,토비 맥과이어"
40,멍뭉이,2023-03-01,1829431386,0.003,1829431386,196023,196023,649,15439,한국,한국,"(주)와이웍스엔터테인먼트,(주)돈키호테엔터테인먼트",(주)키다리스튜디오,전체관람가,드라마,김주환,"유연석,차태현"
41,킬링 로맨스,2023-04-14,1832316642,0.003,1832316642,191542,191542,998,26087,한국,한국,"(주)영화사 이창,쇼트케이크(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,코미디,이원석,"이하늬,이선균,공명,배유람,심달기,최준규,신민재,주광현,강학수,서정식,김영현,황대기,윤세웅,최종윤,정윤하,이서이,김준,김원진,한상철,이은주,김상욱,김상욱,오윤수,조현진,심우성,홍기주,원진호,최민국,최민국,신용식,안정호,한지호,조청원,김재호,박상원,이순성,권정우,손수호,이유진,이주성,송지훈,송태완,조애리,이도영,정동현,손주영,유요한,손선아,곽정길,정지민,김윤숙,김춘기,곽장륜,진범일,조승원,차유주,박은철,정경천,임현정,모일영,진성현,한성관,임유진,심달기,최덕문,오정세"
42,마루이 비디오,2023-02-22,1704980000,0.003,1704980000,165822,165822,284,8934,한국,한국,"(주)발포플랜,(주)브라더픽처스","씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",15세이상관람가,"미스터리,공포(호러)",윤준형,"서현우,조민경,임한성,안현빈,안민영,장세원,김승비,이옥봉,이익수,김학준,김우진,윤효진,황연희,나종기,김진혁,박은홍,서성광,이새로미,곽민준,황기석,허종오,이정철,황대중,안재만,김종대,백인우,강민지"
43,남은 인생 10년,2023-05-24,1430044900,0.002,1430044900,133543,133543,203,5446,일본,일본,,(주)디스테이션,12세이상관람가,멜로/로맨스,후지이 미치히토,"고마츠 나나,사카구치 켄타로"
44,두다다쿵: 후후섬의 비밀,2023-02-15,1136200550,0.002,1136200550,125950,125950,514,8546,한국,한국,아이스크림 스튜디오(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최병선,김지윤",
45,다음 소희,2023-02-08,1100047168,0.002,1100047168,115641,115641,562,10870,한국,한국,"트윈플러스파트너스(주),크랭크업필름(주)",트윈플러스파트너스(주),15세이상관람가,드라마,정주리,"박현하,김시은,이윤지,조하민,배두나,박우영,이인영,박희은,김용준,심희섭,정수하,박윤희,최희진,유정호,문정웅,박서경,김우겸,김태웅,송요셉,나종민,허정도,박수영,권다함,황정민,한혜지,엄옥란,유재연,이종민,박건주,김우영,이승영,유용희,민재원,안소정,나예은,추은경,정수하,문성렬,문정웅"
46,문재인입니다,2023-05-10,1114517035,0.002,1114517035,115115,115115,602,10284,한국,한국,다이스필름(주),유한회사 엠프로젝트,12세이상관람가,다큐멘터리,이창재,
47,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,1140998884,0.002,1140998884,111464,111464,234,8673,미국,미국,,워터홀컴퍼니(주),15세이상관람가,"액션,코미디","다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스"
48,캐리와 슈퍼콜라,2023-01-18,1023770819,0.002,1027763819,111009,111304,474,6693,한국,한국,(주)캐리소프트,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,이춘백","최정윤,엄상현,이다은,원옥화,정주원,이창민,한상태,김지정,강나후,김신비,소경호"
49,에어,2023-04-05,1061526581,0.002,1061526581,110108,110108,656,16485,미국,미국,,워너브러더스 코리아(주),15세이상관람가,드라마,벤 애플렉,"맷 데이먼,벤 애플렉,제이슨 베이트먼,마론 웨이언스,크리스 메시나,크리스 터커,비올라 데이비스"
50,어메이징 모리스,2023-02-15,963997160,0.002,963997160,109302,109302,559,7735,독일,독일,,(주)블루라벨픽쳐스,전체관람가,"애니메이션,판타지,어드벤처",토비 젠켈,"휴 로리,에밀리아 클라크,데이빗 듈리스,히메쉬 파텔,정재헌,박지윤,오인성,김현욱,장미,홍진욱,정의한,이규창,김사라"
51,올빼미,2022-11-23,1091718574,0.002,32860786124,106839,3329606,448,7000,한국,한국,"(주)씨제스엔터테인먼트,(주)영화사 담담",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,안태진,"류준열,유해진,최무성,조성하,박명훈,김성철,안은진,조윤서,김상욱,이주원,김예은,정석원,류성현,김승태,신문성,안성봉,문승배,김인권,김채원,김도원,양희명,강진휘,박희은,김샛별,김재현,류석호,손경원,송동환,강덕중,안세호,배용근,류지훈,조경현,신정원,황보정일,윤진영,윤준열,정동근,최돈학,서인혁,고한민,장태민,서문호,이동희,노정현,김설,손문영,김태준,안석현,권병철,고덕원,이정훈,김현정,장윤정,류진,남시훈,이태호,김현우,한수빈,한여름,설옥남,김수민,이정우,전민옥,전동현,권병철,황영윤,홍의정,이충식,전기수,최춘범,이수민,전기수"
52,아기공룡 둘리-얼음별 대모험,1996-07-24,981713037,0.002,981713037,103020,103020,473,5210,한국,한국,(주)둘리나라,워터홀컴퍼니(주),"연소자관람가,전체관람가","애니메이션,어드벤처,코미디,가족","김수정,임경원",
53,방탄소년단: 옛 투 컴 인 시네마,2023-02-01,2035659000,0.003,2035659000,92539,92539,120,6188,한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,씨제이 씨지브이(CJ CGV)(주)",전체관람가,공연,오윤동,"김남준,김석진,민윤기,정호석,박지민,김태형,전정국"
54,파벨만스,2023-03-22,814957157,0.001,814957157,80767,80767,450,8888,미국,미국,,(주)씨제이이엔엠,12세이상관람가,드라마,스티븐 스필버그,"미쉘 윌리엄스,폴 다노,세스 로건,가브리엘 라벨"
55,샤잠! 신들의 분노,2023-03-15,830461274,0.001,830461274,78743,78743,799,14012,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처",데이비드 F. 샌드버그,"제커리 리바이,애셔 앤젤,아담 브로디,잭 딜런 그레이저,그레이스 펄튼,로즈 버틀러,이안 첸,매건 굿,페이스 허만,D.J. 코드로나,조반 아만드,헬렌 미렌,루시 리우,레이첼 지글러,디몬 하운수"
56,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,711393245,0.001,4128712321,75478,432261,491,4358,한국,한국,(주)씨제이이엔엠,(주)씨제이이엔엠,전체관람가,애니메이션,변영규,"김영은,김채하,신용우,조현정,양정화,강새봄,김명준,김현수,박성태,김율,강성우,유혜지,여민정,이달래,이우리,김동현,김윤기,황동현,채림,박이서"
57,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,657700000,0.001,657700000,73289,73289,234,4741,벨기에,"벨기에,프랑스",,(주)스튜디오디에이치엘,전체관람가,애니메이션,벤 스타센,"박시윤,김용,김소희"
58,젠틀맨,2022-12-28,696073848,0.001,2117158503,72161,224719,715,6779,한국,한국,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,범죄,김경원,"정혜자,주지훈,박성웅,최성은,강홍석,이달,박혜은,권한솔,이서환,박지훈,표영서,장천,임성재,이현균,한사명,곽민규,김난희,송광주,김귀선,한으뜸,오아연,한동희,김은민,최희진,김승비,이화정,이훈경,마웅규,최창욱,송방호,이윤재,임종화,홍석빈,조석인,배성일,박형준,이용석,김연진,서태왕,나경철,안예은,유병선"
