■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2023-01-01~2023-06-30   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1095,브라바도스,,94000,0,14652000,47,7477,1,6,미국,미국,,,,서부극(웨스턴),헨리 킹,"그레고리 펙,조안 콜린스"
1095,비상착륙,,94000,0,6004000,47,2541,1,4,미국,미국,워너 브러더스 픽쳐스,,,"액션,드라마,어드벤처",윌리엄 A. 웰만,"존 웨인,클레어 트레버,로레인 데이,로버트 스택,잔 스털링"
1095,소나티네,2000-01-08,493000,0,3685000,47,433,1,5,일본,일본,반다이비쥬얼컴패니,,18세관람가,"범죄,액션",기타노 다케시,"기타노 다케시,와타나베 테츠"
1095,연옥 에로이카,,266000,0,266000,47,47,1,3,일본,일본,,,,"드라마,판타지",요시다 기주,오카다 마리코
1095,윌마 쇼언에 의한 디드로의 '라무의 조카'(데니스 영 덕분),,259000,0,259000,47,47,1,3,캐나다,캐나다,,,,"코미디,미스터리",마이클 스노우,샹탈 애커만
1100,물로 쓴 이야기,,217000,0,217000,46,46,1,3,일본,일본,,,,드라마,요시다 기주,"오카다 마리코,아사오카 루리코"
1100,"인디피크닉2023 단편5. 사랑의 마음, 사랑의 대화",,368000,0,368000,46,46,1,2,한국,한국,,,,기타,,
1102,모어,2022-06-23,448000,0,96234900,45,11358,1,1,한국,한국,,(주)엣나인필름,15세이상관람가,다큐멘터리,이일하,"예브게니 슈테판,존 카메론 밋첼,모지민"
1102,모자산책,2022-11-17,94000,0,1044000,45,235,1,28,한국,한국,(주)와우,하준사,12세이상관람가,드라마,조성규,"이상훈,정연주,이성종,이주실,윤예희,김다현,김혜나,백익남,김홍택,박경옥,주재윤,박상준,박미영,민재웅,이성순,오지성,이용민,설윤정,박영찬"
1102,사갈,,354000,0,1010000,45,127,1,2,한국,한국,,,,다큐멘터리,이동우,
1102,수정의 구조,,241000,0,714000,45,115,1,3,폴란드,폴란드,,,,드라마,크지쉬토프 자누쉬,
1102,정복의 길,,90000,0,711000,45,353,1,4,미국,미국,,,,"어드벤처,드라마",헨리 킹,"타이론 파워,진 피터스"
1102,캐롤,2016-02-04,401000,0,2937243435,45,355691,2,5,미국,"미국,영국",,CGV아트하우스,청소년관람불가,드라마,토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러,제이크 레이시,사라 폴슨"
1108,러브 어페어,,282000,0,687000,44,116,1,1,미국,미국,,,12세관람가,"코미디,드라마,멜로/로맨스",레오 맥커레이,"아이린 던,찰스 보이어"
1108,리오 그란데,,88000,0,13052500,44,4850,1,6,미국,미국,,,15세관람가,"멜로/로맨스,서부극(웨스턴)",존 포드,"존 웨인,모린 오하라"
1108,무한궤도 (가면속의 거짓말),2023-03-29,440000,0,440000,44,44,1,1,한국,한국,스마일픽쳐스,스마일픽쳐스,15세이상관람가,범죄,김문옥,"최다형,박효근,정인철,박보근,박태현,박흥열,김류경,장영희,한미래,임미소"
1108,"바르도, 약간의 진실을 섞은 거짓된 연대기",2022-11-16,401500,0,17630800,44,1831,2,12,미국,미국,,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,드라마,알레한드로 곤잘레스 이냐리투,"안드레스 알메이다,다니엘 지멘네즈 카초,히메나 라마드리드"
1108,반짝다큐페스티발 섹션 9,,396000,0,396000,44,44,1,1,한국,한국,,,,기타,,
1108,사랑도 잊고,,273000,0,273000,44,44,1,2,일본,일본,,,,드라마,시미즈 히로시,
1108,세일즈맨,,238000,0,238000,44,44,1,3,미국,미국,,,,"다큐멘터리,드라마",앨버트 메이슬리스,
1108,써커스,1990-05-05,306000,0,5438500,44,1123,1,3,미국,미국,유나이티드 아티스트,(주)엣나인필름,연소자관람가,드라마,찰리 채플린,"찰리 채플린,알란 가르시아,메르나 케네디"
1108,표류도,1960-12-17,110000,0,1919000,44,891,1,8,한국,한국,,,,멜로/로맨스,권영순,"문정숙,김진규"
1108,한니발,,88000,0,4734000,44,2481,1,8,이탈리아,이탈리아,,,15세이상관람가,"액션,어드벤처,드라마",에드가 G. 울머,안드레아 오렐리
1118,건축가의 배,,227000,0,2274000,43,385,1,3,영국,"영국,이탈리아",,,,드라마,피터 그리너웨이,
1118,검은 난초,,91000,0,6041000,43,2570,1,4,미국,미국,,,,드라마,마틴 리트,"소피아 로렌,앤소니 퀸,피터 마크 리치만"
1118,백두산,2019-12-19,258000,0,69831688800,43,8253470,1,1,한국,한국,"주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠","(주)씨제이이엔엠,(주)덱스터스튜디오",12세이상관람가,"어드벤처,드라마","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지,손성찬,서명찬,양지수,박준영,양대혁,김재철,박지훈,변우석,지화섭,김지민,이정민,허승,차시원,김훈만,손영순,박태산,우진혁,신성일,김세윤,김정현,허지나,김지훈,한창민,남상지,김연교,정윤하,김하라,이은희,이상원,옥자연,한수현,강신철,이경영,조한철,최광일,김시아,임형국,박주환,남성준,김민식,박지홍,서현우,김준원,남문철,박성근,전도연,노종면,이광연,이종원,김경수,나경철,박윤미,염상훈,차해리,김태은,서석규,서문호,장재희,나경진,김효준,김성혁,권수진,임윤비,장근영,서문호,한동훈,오지영,박정숙,홍지아,임수아,권귀덕,김기태,김찬욱,김양원,김시원,김대경,강규현,박범석,이재한,임무빈,장나라,서영재,김통령,최정현,이한결,안구희,최홍락,정상균,이육헌,권혁일,이두원,이창석,장용희,김동빈,김영경,김진문,민병욱,윤슬기,이형주,정진혁,한동훈,백경윤,고한민,허승,양지수,한동훈,서문호,김연교,정한빈"
1118,태양은 가득히,1973-02-03,86000,0,28875500,43,12853,1,6,프랑스,"프랑스,이탈리아",,,12세이상관람가,"범죄,스릴러",르네 끄레망,"알랑 드롱,마리 라포레,모리스 로네"
1122,거울의 여자들,,226000,0,769000,42,153,1,3,일본,일본,,,,드라마,요시다 기주,"오카다 마리코,타나카 요시코"
1122,대함정,,84000,0,3642000,42,1816,1,6,프랑스,"프랑스,이탈리아",,,,"액션,어드벤처",안드레 헌벨,"장 마레,다니 로뱅"
1122,인디피크닉2023 단편4. 꼬리에 꼬리를 무는 이야기,,335000,0,335000,42,42,1,2,한국,한국,,,,기타,,
1122,카페 소사이어티,2016-09-14,407500,0,1064211666,42,128816,1,5,미국,미국,,"찬란,CGV아트하우스",15세이상관람가,"멜로/로맨스,드라마",우디 앨런,"제시 아이젠버그,크리스틴 스튜어트,블레이크 라이블리,스티브 카렐"
1126,계엄령,,240000,0,495000,41,92,1,3,일본,일본,,,,"기타,드라마",요시다 기주,미쿠니 렌타로
1126,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,2021-12-09,312000,0,426629000,41,40169,2,14,일본,일본,,(주)애니플러스,12세이상관람가,"애니메이션,액션,판타지",카와노 아야코,"마츠오카 요시츠구,토마츠 하루카,미나세 이노리"
1126,노예반란,,82000,0,518000,41,259,1,6,이탈리아,"이탈리아,스페인,서독",,,,어드벤처,,
1126,순수의 성,,222000,0,222000,41,41,1,3,멕시코,멕시코,,,,드라마,아르투로 립스타인,
1126,자크 타티 회고전 - 자크 타티 단편선,,276000,0,276000,41,41,1,1,프랑스,프랑스,,,,기타,,
1126,카젤마허,,270000,0,270000,41,41,1,2,서독,서독,,,,드라마,라이너 베르너 파스빈더,"한나 쉬굴라,라이너 베르너 파스빈더"
1126,페이톤 플레이스,,82000,0,11910000,41,5939,1,4,미국,미국,,,,"드라마,멜로/로맨스",마크 로브슨,"라나 터너,리 필립스,로이드 놀랜"
1126,해피엔드,1999-12-11,389000,0,4022000,41,479,1,11,한국,한국,(주)명필름,,18세관람가,"멜로/로맨스,스릴러",정지우,"최민식,전도연,주진모,김병춘,주현,손진호,박성일,박지일,김병춘"
1126,황야의 7인,1972-11-02,82000,0,19923500,41,9164,1,6,미국,미국,유나이티드 아티스트,,,"드라마,서부극(웨스턴),어드벤처",존 스터지스,"율 브린너,엘리 왈라치"
1135,길고 긴 여름날,,80000,0,6630000,40,3285,1,6,미국,미국,,,15세이상관람가,드라마,마틴 리트,"폴 뉴먼,조안 우드워드"
1135,김일성의 아이들,2020-06-25,440000,0,13821500,40,1768,1,1,한국,한국,다큐스토리,다큐스토리,전체관람가,"다큐멘터리,전쟁",김덕영,김덕영
1135,끝없는,,212000,0,777000,40,125,1,3,폴란드,폴란드,,,,"드라마,멜로/로맨스",크지슈토프 키에슬로프스키,
1135,너에게 가는 길,2021-11-17,520000,0,164555703,40,18938,1,1,한국,한국,연분홍치마,(주)엣나인필름,12세이상관람가,다큐멘터리,변규리,"정은애,강선화,이한결,정예준,곽인선,남성준,정동렬"
1135,버팔로 대대,,80000,0,3875000,40,1907,1,6,미국,미국,,,,"범죄,서부극(웨스턴)",,
1135,중국식 룰렛,,264000,0,264000,40,40,1,2,서독,서독,,,,드라마,라이너 베르너 파스빈더,"안나 카리나,마샤 메릴"
1135,폴: 600미터,2022-11-16,200000,0,825147338,40,83310,2,2,영국,"영국,미국",,(주)스튜디오디에이치엘,12세이상관람가,"스릴러,액션",스콧 만,"그레이스 캐롤라인 커리,버지니아 가드너,제프리 딘 모건"
1142,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,282198,0,936106198,39,122003,1,10,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,SF,액션",이토 토모히코,"마츠오카 요시츠구,토마츠 하루카,이토 카나에"
1142,델로니어스 몽크,,227000,0,227000,39,39,1,3,미국,미국,,,,"다큐멘터리,뮤지컬",,셀로니어스 몽크
1142,독수리는 다시난다,,78000,0,859000,39,419,1,6,미국,미국,,,,,헨리 킹,"타이론 파워,베티 그레블"
1142,리피피,2008-08-09,78000,0,4708000,39,1652,1,6,프랑스,프랑스,,,,드라마,,
1142,몽고의 란,,78000,0,2699000,39,1347,1,6,프랑스,프랑스,,,,"액션,어드벤처,드라마",안드레 드 토스,
1142,싱 오버 미,2015-09-24,351000,0,13772000,39,1861,1,1,미국,미국,,문화선교연구원,12세이상관람가,다큐멘터리,제이콥 카인드버그,
1142,아이 캔 온리 이매진,2018-06-21,312000,0,266983260,39,35122,1,1,미국,미국,,"(주)영화사 그램,TCO(주)더콘텐츠온,(재)CBS",12세이상관람가,"드라마,가족","앤드류 어윈,존 어윈","J. 마이클 핀리,데니스 퀘이드,매들린 캐롤,트레이스 에드킨스,클로리스 리치먼"
1142,애인과 정부,,78000,0,684000,39,342,1,6,미국,미국,,,,"드라마,멜로/로맨스",리차드 브룩스,"폴 뉴먼,제랄딘 페이지,셜리 나이트"
1142,오징어 노동조합,,228000,0,1152000,39,171,1,4,핀란드,핀란드,,,,기타,아키 카우리스마키,
1142,오프닝 나이트,,284000,0,4087000,39,588,1,1,미국,미국,,,,드라마,존 카사베츠,"지나 롤랜즈,존 카사베츠"
1142,유포자들,2022-11-23,195000,0,154680500,39,23721,1,1,한국,한국,"KBS,(주)아센디오",와이드 릴리즈(주),15세이상관람가,"범죄,드라마,스릴러",홍석구,"박성훈,김소은,송진우,박주희,임나영,지민혁,이현소,김보영,김수정,정수지,박광재,이동용,임가영,이자령,김선기,황자능,임한나,이동준,이희헌,나호원,차유주,장근철,주혁,유승신,이재학,현석준,김미지,김태진,진영준,손지영"
1142,이유없는 반항,1971-03-26,78000,0,17496500,39,7728,1,6,미국,미국,워너 브러더스 픽쳐스,,"청소년관람불가,전체관람가",드라마,니콜라스 레이,"제임스 딘,나탈리 우드,살 미네오,짐 바쿠"
1142,인디아 송,,261000,0,3848000,39,585,1,1,프랑스,프랑스,,,,"드라마,판타지,멜로/로맨스",마르그리트 뒤라스,"델핀 세이릭,미쉘 롱스달,마티유 까리에"
1142,제복의 처녀,,222000,0,222000,39,39,1,3,독일,독일,,,,"드라마,멜로/로맨스",,
1142,집시,,78000,0,3964000,39,1979,1,4,미국,미국,,,,드라마,머빈 르로이,"로사린드 러셀,나탈리 우드,칼 말든"
1157,경계선,,201000,0,201000,38,38,1,3,영국,영국,,,,드라마,,
1157,더 스퀘어,2018-08-02,324000,0,141339400,38,17325,1,3,스웨덴,"스웨덴,독일,프랑스,덴마크",,아이 엠,15세이상관람가,코미디,루벤 외스틀룬드,"클라에스 방,엘리자베스 모스,도미닉 웨스트"
1157,레닌그라드 카우보이 모세를 만나다,,202000,0,754000,38,124,1,3,핀란드,"핀란드,프랑스,독일",,,,"어드벤처,코미디",아키 카우리스마키,"안드레 윔즈,마티 펠론파,까리 베나넨"
1157,미친 욕망,,241000,0,241000,38,38,1,2,이탈리아,이탈리아,,,,드라마,,"유고 토나찌,카트린 스파크"
1157,소설가의 영화,2022-04-21,358000,0,96620570,38,10612,1,7,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",12세이상관람가,드라마,홍상수,"이혜영,김민희,서영화,박미소,권해효,조윤희,하성국,기주봉,이은미,김시하"
1157,재춘언니,2022-03-31,324000,0,36387500,38,5773,1,1,한국,한국,생의 한가운데,(주)시네마달,12세이상관람가,다큐멘터리,이수정,"임재춘,김경봉,이인근,장석천"
1157,해저 2만리,,114000,0,28787000,38,13851,1,5,미국,미국,월트 디즈니 프로덕션,,전체관람가,"SF,어드벤처,가족",리차드 플레이셔,"커크 더글라스,제임스 메이슨"
1164,불꽃과 여자,,207000,0,818000,37,141,1,3,일본,일본,,,,드라마,요시다 기주,"오카다 마리코,키무라 이사오"
1164,빌리 홀리데이,2021-11-04,213000,0,83841130,37,8225,1,3,미국,미국,,(주)디스테이션,청소년관람불가,"드라마,뮤지컬",리 다니엘스,"안드라 데이,트레반트 로즈,가렛 헤드룬드,나타샤 리온"
1164,사랑의 굴다리,,74000,0,1422000,37,711,1,6,미국,미국,,,,"코미디,멜로/로맨스",진 켈리,도리스 데이
1164,삼손과 데릴라,1974-12-21,74000,0,30799318,37,16611,1,10,미국,미국,,,청소년관람불가,"드라마,멜로/로맨스,사극",세실 B. 데밀,"안젤라 랜스베리,헤디 라머,조지 샌더스"
1164,신사는 금발을 좋아해,,74000,0,19023000,37,8205,1,6,미국,미국,,,,"코미디,뮤지컬",하워드 혹스,"제인 러셀,마릴린 몬로"
1164,안마와 여자,,226000,0,306000,37,55,1,2,일본,일본,,,,드라마,시미즈 히로시,타카미네 미에코
1164,이오지마의 영웅,,74000,0,2502000,37,1251,1,6,미국,미국,,,,"드라마,전쟁",델버트 만,
1164,피가 마른다,,213000,0,368000,37,68,1,3,일본,일본,,,,드라마,요시다 기주,사다 케이지
1164,필라델피아 스토리,,237000,0,8431000,37,3926,1,1,미국,미국,,,,"코미디,멜로/로맨스",조지 쿠커,"캐리 그랜트,캐서린 헵번,제임스 스튜어트"
1173,산하는 요원하다,,72000,0,4433000,36,2214,1,6,스위스,"스위스,미국",,,12세이상관람가,"전쟁,드라마",프레드 진네만,"몽고메리 클리프트,알린 맥마흔"
1173,생각 그런거 없는데요,2023-01-25,374000,0,374000,36,36,1,6,한국,한국,우리우리,목영이엔엠,12세이상관람가,드라마,하나,
1173,에로스+학살,,212000,0,1038000,36,207,1,3,일본,일본,,,,"기타,드라마",요시다 기주,오카다 마리코
1173,젊은 사자들,,72000,0,10494500,36,5287,1,4,미국,미국,,,18세 미만인 자는 관람할 수 없는 등급,"드라마,전쟁",에드워드 디미트릭,"말론 브란도,몽고메리 클리프트,딘 마틴"
1173,조국은 누구의 것이냐,,72000,0,1566000,36,678,1,6,이탈리아,이탈리아,,,,"드라마,전쟁",,알도 기우프레
1173,폴란드로 간 아이들,2018-10-31,324000,0,391108800,36,51295,1,1,한국,한국,보아스필름,커넥트픽쳐스(주),전체관람가,"다큐멘터리,드라마",추상미,"이송,강동완,김나영,김미나,김새롬,이석준,이온유,이혜경,추상미,추상미"
1173,히치콕 트뤼포,2016-08-25,311000,0,25616100,36,3192,1,4,프랑스,"프랑스,미국",,(주)영화사 안다미로,15세이상관람가,다큐멘터리,켄트 존스,"알프레드 히치콕,프랑수아 트뤼포,데이빗 핀처,마틴 스코세이지,웨스 앤더슨,리차드 링클레이터,올리비에 아사야스,제임스 그레이,구로사와 기요시"
1180,300 스파르탄,,70000,0,10988000,35,5443,1,4,미국,미국,,,,"전쟁,드라마",루돌프 마테,"리차드 에건,랄프 리차드슨"
1180,Birth,,291000,0,728000,35,90,1,3,한국,한국,,,,드라마,유지영,박지수
1180,너와 사랑한 시간,2022-11-30,138000,0,94305800,35,13722,2,12,홍콩,홍콩,,오드,12세이상관람가,멜로/로맨스,황진진,류이호
1180,라운드 미드나잇,,185000,0,705000,35,142,1,2,미국,"미국,프랑스",,,,"드라마,뮤지컬",베르트랑 타베르니에,프랑수아 클뤼제
1180,무분별,,70000,0,2014000,35,922,1,4,영국,영국,,,,코미디,스탠리 도넌,"캐리 그랜트,잉그리드 버그만,세실 파커"
1180,베로니카의 이중생활,1991-11-09,311000,0,35266100,35,4358,1,2,프랑스,프랑스,,"(주)영화사 안다미로,㈜영화사 백두대간",연소자관람불가,"드라마,멜로/로맨스,판타지",크지슈토프 키에슬로프스키,"이렌느 야곱,필립 볼테르,상드린 뒤마"
1180,소돔과 고모라,1974-04-25,70000,0,10526500,35,5296,1,2,미국,"미국,이탈리아,프랑스",,,,"드라마,어드벤처,사극",로버트 알드리치,"스튜어트 그랜저,피어 안젤리,아누크 에메"
1180,여배우의 고백,,198000,0,198000,35,35,1,3,일본,일본,,,,드라마,요시다 기주,"오카다 마리코,아사오카 루리코,아리마 이네코"
1180,영향 아래 있는 여자,,249000,0,4753000,35,672,1,1,미국,미국,,,,"드라마,멜로/로맨스",존 카사베츠,지나 롤랜즈
1180,진주의 진주,,277000,0,277000,35,35,1,1,한국,한국,,,,기타,김록경,"문선용,임호준"
1190,독립협회와 청년 이승만,,68000,0,1698000,34,849,1,4,한국,한국,,,,드라마,신상옥,"김진규,김승호,황정순,엄앵란"
1190,디올 앤 아이,2015-08-06,442000,0,83376000,34,10179,1,1,프랑스,프랑스,,(주)영화사 진진,전체관람가,다큐멘터리,프레드릭 청,"라프 시몬스,피테르 뮤리에르,마리옹 꼬띠아르"
1190,바람아 안개를 걷어가다오,2021-10-28,73000,0,9216300,34,1217,1,26,한국,한국,(주)모쿠슈라,(주)모쿠슈라,12세이상관람가,드라마,신동민,"신정웅,김혜정,노윤정,구양욱,김도현,차솔몬,전정욱,김사문,지승섭,김상돈,강미경"
1190,버드,,190000,0,295000,34,53,1,2,미국,미국,,,,"드라마,뮤지컬",클린트 이스트우드,"포레스트 휘테커,마이클 젤니커"
1190,사랑의 행로,,243000,0,2728000,34,448,1,1,미국,미국,,,,드라마,존 카사베츠,"지나 롤랜즈,존 카사베츠"
1190,시민 노무현,2019-05-23,356000,0,118082090,34,14655,1,1,한국,한국,"엠앤씨에프,(주)영화사진",(주)삼백상회,12세이상관람가,다큐멘터리,백재호,"노무현,유시민,김경수,김영호,김정호,김준태,백승택,성경륭,유연미,이송평,정재성,조기숙,주형로,천호선,김정호,김준태,김영호,박성민"
1190,알래스카의 혼,,68000,0,8632500,34,3796,1,6,미국,미국,,,,"서부극(웨스턴),코미디",헨리 해서웨이,"스튜어트 그랜저,존 웨인"
1190,욕망의 모호한 대상,1999-03-27,238000,0,1034000,34,148,1,1,프랑스,"프랑스,스페인","그리니치 필름 프로덕션,인시네컴페니인더스트리얼",,18세 미만인 자는 관람할 수 없는 등급,드라마,루이스 브뉘엘,"페르난도 레이,캐롤 부케"
1190,이도공간,2003-06-05,336000,0,60294300,34,6343,1,3,홍콩,홍콩,,(주)엣나인필름,12세관람가,스릴러,나지량,"장국영,임가흔"
1190,인디피크닉2023 단편2. 너희는 우리보다,,272000,0,272000,34,34,1,2,한국,한국,,,,기타,,
1190,호우시절,2009-10-08,327000,0,2146711500,34,288631,1,2,한국,"한국,중국",판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로/로맨스,허진호,"정우성,고원원,이봉화,이서영,김상호"
1201,로렐과 하디의 외인부대,,216000,0,216000,33,33,1,2,미국,미국,,,,드라마,,스탠 로렐
1201,모베터 블루스,,180000,0,275000,33,49,1,2,미국,미국,,,연소자관람불가,드라마,스파이크 리,"덴젤 워싱턴,스파이크 리"
1201,반짝다큐페스티발 섹션 6,,297000,0,297000,33,33,1,1,한국,한국,,,,다큐멘터리,,
1201,선풍을 일으킨 질투,,66000,0,2256000,33,1123,1,6,미국,미국,,,,기타,조지 시드니,
1201,쓸모 없는 녀석,,154000,0,379000,33,78,1,3,일본,일본,,,,"액션,범죄",요시다 기주,"츠가와 마사히코,카와즈 유스케"
1206,X같은 상사의 연하 와이프,2023-05-03,192000,0,192000,32,32,5,5,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),포스타,
1206,광음적고사,,320000,0,1901000,32,173,1,2,대만,대만,,(주)에이썸엔터테인먼트,,기타,에드워드 양,
1206,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2022-03-09,238599,0,471826189,32,48468,1,6,일본,일본,,(주)스마일이엔티,12세이상관람가,애니메이션,나가사키 켄지,
1206,내 아내가 팔려갔습니다,2023-06-02,192000,0,192000,32,32,5,5,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),두유휘,
1206,도희야,2023-04-07,182000,0,182000,32,32,5,5,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),신세계,
1206,뜨거운 양철 지붕 위의 고양이,,64000,0,22070000,32,10037,1,6,미국,미국,,,,드라마,리차드 브룩스,"엘리자베스 테일러,폴 뉴먼,벌 아이비스"
1206,마티,,64000,0,6046000,32,3018,1,4,미국,미국,,,,"코미디,드라마",델버트 만,"에스더 민치오티,어거스타 시올리,조 만텔"
1206,시아버지를 농락한 며느리,2023-02-03,192000,0,192000,32,32,5,5,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),신세계,
1206,신입 여사원: 출장업무,2023-03-03,192000,0,192000,32,32,5,5,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),신세계,
1206,애니살롱전 6월: 애니메이션으로 만나는 동화의 세계,,285000,0,285000,32,32,1,1,한국,한국,,,,애니메이션,,
1206,어둠은 걷히고,,176000,0,3603000,32,538,1,2,핀란드,핀란드,,,,"드라마,코미디",아키 카우리스마키,"카티 오우티넨,까리 베나넨"
1206,초록밤,2022-07-28,72000,0,22435327,32,2627,1,27,한국,한국,디파이언트,㈜인디스토리,15세이상관람가,기타,윤서진,"이태훈,김민경,강길우,변은영,오민애,김국희,원미원,이수아,송지연,이나라,이지은,윤지원,박진수,이승은,임수진,이민혁,이상완,김용완,김찬열,김호석,노치형"
1206,추격기,,64000,0,834000,32,412,1,6,미국,미국,,,,"액션,드라마,멜로/로맨스",딕 파웰,"로버트 미첨,로버트 와그너,리차드 에건"
1219,달의 애인들,,190000,0,1430000,31,220,1,1,프랑스,"프랑스,이탈리아,소련",,,,"드라마,범죄",오타르 이오셀리아니,"카티아 루프,알릭스 드 몬타이거"
1219,동경의 주먹,2001-01-27,195228,0,195228,31,31,1,13,일본,일본,,(주)미디어캐슬,18세관람가,드라마,츠카모토 신야,"츠카모토 신야,카오리 후지이,츠카모토 코지"
1219,모니카,,199000,0,199000,31,31,1,2,이탈리아,이탈리아,,,,드라마,안드레아 팔라오로,에밀리 브라우닝
1219,바람이 우리를 데려다 주리라,2002-11-22,206000,0,8286000,31,1162,1,2,이란,이란,,㈜영화사 백두대간,전체관람가,드라마,압바스 키아로스타미,압바스 키아로스타미
1219,벤허,1972-09-07,62000,0,310020312,31,53087,1,2,미국,미국,메트로-골드윈-마이어,(주)팝엔터테인먼트,"12세이상관람가,연소자관람가,전체관람가","드라마,액션",윌리엄 와일러,"찰톤 헤스톤,잭 호킨스,하야 할라이드,스티븐 보이드"
1219,보이헌트,,62000,0,1598000,31,784,1,6,미국,미국,,,,"코미디,드라마,멜로/로맨스",헨리 레빈,
1219,세인트 루이스에서 만나요,,169000,0,3143000,31,1482,1,2,미국,미국,,,전체관람가,"코미디,드라마,가족",빈센트 미넬리,"주디 갈란드,마가렛 오브라이언"
1219,"안녕, 나의 집",,204000,0,204000,31,31,1,1,프랑스,"프랑스,스위스,이탈리아",,,,"코미디,드라마",오타르 이오셀리아니,"니코 타리엘라슈빌리,릴리 라비나"
1219,장한몽,,62000,0,5308000,31,2654,1,6,한국,한국,,,,,신상옥,"남궁원,윤정희,신성일,도금봉,사미자,김동원,한은진"
1219,쿼바디스,1973-01-13,62000,0,35762982,31,19909,1,2,미국,미국,메트로-골드윈-마이어,,연소자관람가,"드라마,사극",머빈 르로이,"데보라 카,로버트 테일러,레오 겐"
1219,플라워 드럼 송,,62000,0,358000,31,179,1,4,미국,미국,,,,"코미디,뮤지컬,멜로/로맨스",헨리 코스터,낸시 콴
1230,#Take No. 고백(인디스데이),,215000,0,215000,30,30,1,11,한국,한국,,,,기타,,
1230,2023년 6월 수요단편극장: 그래서 우리는 사랑을 하지 - 청소년 퀴어 단편선,,237000,0,237000,30,30,2,3,한국,한국,,,,기타,,
1230,가뭄,,206000,0,206000,30,30,1,2,이탈리아,이탈리아,,,,드라마,,"실비오 올란도,바레리오 마스탄드레아"
1230,동에 번쩍 서에 번쩍,,270000,0,1477500,30,181,1,1,한국,한국,,,,어드벤처,이광국,
1230,반짝다큐페스티발 섹션 2,,270000,0,270000,30,30,1,1,한국,한국,,,,다큐멘터리,,
1230,셰임,2013-05-09,290000,0,148498400,30,19595,1,2,영국,영국,,㈜영화사 백두대간,청소년관람불가,드라마,스티브 맥퀸,"마이클 패스벤더,캐리 멀리건,제임스 뱃지 데일"
1230,아이들의 시간,,60000,0,4720000,30,2281,1,4,미국,미국,,,,드라마,윌리엄 와일러,"오드리 헵번,셜리 맥클레인"
1230,엘라 피츠제럴드,,193000,0,193000,30,30,1,3,영국,"영국,미국",,,,다큐멘터리,,
1230,열정의 랩소디,,60000,0,8885000,30,4115,1,6,미국,미국,,,12세관람가,드라마,"빈센트 미넬리,조지 쿠커","커크 더글라스,앤소니 퀸"
1230,지푸라기라도 잡고 싶은 짐승들,2020-02-19,240000,0,5459038460,30,629279,1,1,한국,한국,(주)비에이엔터테인먼트,플러스엠 엔터테인먼트,청소년관람불가,"스릴러,범죄",김용훈,"전도연,정우성,배성우,윤여정,정만식,진경,신현빈,김준한,정가람,박지환,허동원,배진웅,장의돈,권혁범,윤태수,이이담,성도현,이상경,임호준,엄태옥,홍성덕,정재훈,성승택,김나래,박예림,구인정,정도영,조재완,김진만,심소영,김대한,손현준,황현,하재열,선율우,황인보,김정한,강성호,박정민,장의돈,홍택근,윤서정,오기환,정선우,김현임,황인성,박현준,이요섭,정대웅,이순화,현정애,김정남,유인혜,정지영,김희주,윤태수,오혜림,박세라,이예린"
1230,태양은 없다,1999-01-01,240000,0,7909700,30,965,1,1,한국,한국,(주)우노필름,,18세 미만인 자는 관람할 수 없는 등급,"드라마,액션",김성수,"정우성,문소연,박지훈,이정재,이범수,한고은,박성웅,이기열,이봉규,권태원"
